Date,Time,Temperature(°C),Interval(in minutes)
2025-06-27,13:17:45,-,10 min
27-06-2025,13:17:45,25.0,10
27-06-2025,13:27:45,25.0,10
27-06-2025,13:37:45,25.0,10
27-06-2025,13:47:45,25.0,10
27-06-2025,13:57:45,25.0,10
27-06-2025,14:07:45,25.0,10
27-06-2025,14:17:45,25.0,10
27-06-2025,14:27:45,25.0,10
27-06-2025,14:37:45,25.0,10
27-06-2025,14:47:45,25.0,10
27-06-2025,14:57:45,25.0,10
27-06-2025,15:07:45,25.0,10
27-06-2025,15:17:45,25.0,10
27-06-2025,15:27:45,25.0,10
27-06-2025,15:37:45,25.0,10
27-06-2025,15:47:45,25.0,10
27-06-2025,15:57:45,25.0,10
27-06-2025,16:07:45,25.0,10
27-06-2025,16:17:45,25.0,10
27-06-2025,16:27:45,25.0,10
27-06-2025,16:37:45,25.0,10
27-06-2025,16:47:45,25.0,10
27-06-2025,16:57:45,25.0,10
27-06-2025,17:07:45,25.0,10
27-06-2025,17:17:45,25.0,10
27-06-2025,17:27:45,25.0,10
27-06-2025,17:37:45,25.0,10
27-06-2025,17:47:45,25.0,10
27-06-2025,17:57:45,25.0,10
27-06-2025,18:07:45,25.0,10
27-06-2025,18:17:45,25.0,10
27-06-2025,18:27:45,25.0,10
27-06-2025,18:37:45,25.0,10
27-06-2025,18:47:45,25.0,10
27-06-2025,18:57:45,25.0,10
27-06-2025,19:07:45,25.0,10
27-06-2025,19:17:45,25.0,10
27-06-2025,19:27:45,25.0,10
27-06-2025,19:37:45,25.0,10
27-06-2025,19:47:45,25.0,10
27-06-2025,19:57:45,25.0,10
27-06-2025,20:07:45,25.0,10
27-06-2025,20:17:45,25.0,10
27-06-2025,20:27:45,25.0,10
27-06-2025,20:37:45,25.0,10
27-06-2025,20:47:45,25.0,10
27-06-2025,20:57:45,25.0,10
27-06-2025,21:07:45,25.0,10
27-06-2025,21:17:45,25.0,10
27-06-2025,21:27:45,25.0,10
27-06-2025,21:37:45,25.0,10
27-06-2025,21:47:45,25.0,10
27-06-2025,21:57:45,25.1,10
27-06-2025,22:07:45,25.1,10
27-06-2025,22:17:45,25.0,10
27-06-2025,22:27:45,25.0,10
27-06-2025,22:37:45,25.1,10
27-06-2025,22:47:45,25.0,10
27-06-2025,22:57:45,25.1,10
27-06-2025,23:07:45,25.0,10
27-06-2025,23:17:45,25.0,10
27-06-2025,23:27:45,25.1,10
27-06-2025,23:37:45,25.0,10
27-06-2025,23:47:45,25.0,10
27-06-2025,23:57:45,25.1,10
28-06-2025,00:07:45,25.0,10
28-06-2025,00:17:45,25.1,10
28-06-2025,00:27:45,25.1,10
28-06-2025,00:37:45,25.1,10
28-06-2025,00:47:45,25.1,10
28-06-2025,00:57:45,25.0,10
28-06-2025,01:07:45,25.1,10
28-06-2025,01:17:45,25.1,10
28-06-2025,01:27:45,25.1,10
28-06-2025,01:37:45,25.1,10
28-06-2025,01:47:45,25.1,10
28-06-2025,01:57:45,25.1,10
28-06-2025,02:07:45,25.1,10
28-06-2025,02:17:45,25.1,10
28-06-2025,02:27:45,25.1,10
28-06-2025,02:37:45,25.1,10
28-06-2025,02:47:45,25.1,10
28-06-2025,02:57:45,25.1,10
28-06-2025,03:07:45,25.1,10
28-06-2025,03:17:45,25.1,10
28-06-2025,03:27:45,25.1,10
28-06-2025,03:37:45,25.1,10
28-06-2025,03:47:45,25.1,10
28-06-2025,03:57:45,25.1,10
28-06-2025,04:07:45,25.1,10
28-06-2025,04:17:45,25.1,10
28-06-2025,04:27:45,25.1,10
28-06-2025,04:37:45,25.1,10
28-06-2025,04:47:45,25.1,10
28-06-2025,04:57:45,25.1,10
28-06-2025,05:07:45,25.1,10
28-06-2025,05:17:45,25.1,10
28-06-2025,05:27:45,25.1,10
28-06-2025,05:37:45,25.1,10
28-06-2025,05:47:45,25.1,10
28-06-2025,05:57:45,25.1,10
28-06-2025,06:07:45,25.1,10
28-06-2025,06:17:45,25.1,10
28-06-2025,06:27:45,25.1,10
28-06-2025,06:37:45,25.1,10
28-06-2025,06:47:45,25.1,10
28-06-2025,06:57:45,25.1,10
28-06-2025,07:07:45,25.1,10
28-06-2025,07:17:45,25.1,10
28-06-2025,07:27:45,25.1,10
28-06-2025,07:37:45,25.1,10
28-06-2025,07:47:45,25.1,10
28-06-2025,07:57:45,25.1,10
28-06-2025,08:07:45,25.1,10
28-06-2025,08:17:45,25.1,10
28-06-2025,08:27:45,25.1,10
28-06-2025,08:37:45,25.1,10
28-06-2025,08:47:45,25.1,10
28-06-2025,08:57:45,25.1,10
28-06-2025,09:07:45,25.1,10
28-06-2025,09:17:45,25.1,10
28-06-2025,09:27:45,25.1,10
28-06-2025,09:37:45,25.1,10
28-06-2025,09:47:45,25.1,10
28-06-2025,09:57:45,25.1,10
28-06-2025,10:07:45,25.1,10
28-06-2025,10:17:45,25.1,10
28-06-2025,10:27:45,25.1,10
28-06-2025,10:37:45,25.1,10
28-06-2025,10:47:45,25.1,10
28-06-2025,10:57:45,25.1,10
28-06-2025,11:07:45,25.1,10
28-06-2025,11:17:45,25.1,10
28-06-2025,11:27:45,25.1,10
28-06-2025,11:37:45,25.1,10
28-06-2025,11:47:45,25.1,10
28-06-2025,11:57:45,25.0,10
28-06-2025,12:07:45,25.0,10
28-06-2025,12:17:45,25.1,10
28-06-2025,12:27:45,25.1,10
28-06-2025,12:37:45,25.0,10
28-06-2025,12:47:45,25.1,10
28-06-2025,12:57:45,25.1,10
28-06-2025,13:07:45,25.0,10
28-06-2025,13:17:45,25.1,10
28-06-2025,13:27:45,25.1,10
28-06-2025,13:37:45,25.1,10
28-06-2025,13:47:45,25.0,10
28-06-2025,13:57:45,25.0,10
28-06-2025,14:07:45,25.1,10
28-06-2025,14:17:45,25.1,10
28-06-2025,14:27:45,25.1,10
28-06-2025,14:37:45,25.1,10
28-06-2025,14:47:45,25.0,10
