Date,Time,Temperature(°C),Interval
2025-05-02,17:49:03,-,30 sec
02-05-2025,17:49:03,27.8,30 sec
02-05-2025,17:49:33,27.8,30 sec
02-05-2025,17:50:03,27.8,30 sec
02-05-2025,17:50:33,27.8,30 sec
02-05-2025,17:51:03,27.8,30 sec
02-05-2025,17:51:33,27.8,30 sec
02-05-2025,17:52:03,27.8,30 sec
02-05-2025,17:52:33,27.8,30 sec
02-05-2025,17:53:03,27.8,30 sec
02-05-2025,17:53:33,27.8,30 sec
02-05-2025,17:54:03,27.8,30 sec
02-05-2025,17:54:33,27.8,30 sec
02-05-2025,17:55:03,27.8,30 sec
02-05-2025,17:55:33,27.8,30 sec
02-05-2025,17:56:03,27.8,30 sec
02-05-2025,17:56:33,27.8,30 sec
02-05-2025,17:57:03,27.8,30 sec
02-05-2025,17:57:33,27.8,30 sec
02-05-2025,17:58:03,27.8,30 sec
02-05-2025,17:58:33,27.8,30 sec
02-05-2025,17:59:03,27.8,30 sec
02-05-2025,17:59:33,27.8,30 sec
02-05-2025,18:00:03,27.8,30 sec
02-05-2025,18:00:33,27.8,30 sec
02-05-2025,18:01:03,27.8,30 sec
02-05-2025,18:01:33,27.8,30 sec
02-05-2025,18:02:03,27.8,30 sec
02-05-2025,18:02:33,27.8,30 sec
02-05-2025,18:03:03,27.8,30 sec
02-05-2025,18:03:33,27.8,30 sec
02-05-2025,18:04:03,27.8,30 sec
02-05-2025,18:04:33,27.8,30 sec
02-05-2025,18:05:03,27.8,30 sec
02-05-2025,18:05:33,27.8,30 sec
02-05-2025,18:06:03,27.8,30 sec
02-05-2025,18:06:33,27.8,30 sec
02-05-2025,18:07:03,27.8,30 sec
02-05-2025,18:07:33,27.8,30 sec
02-05-2025,18:08:03,27.8,30 sec
02-05-2025,18:08:33,27.8,30 sec
02-05-2025,18:09:03,27.8,30 sec
02-05-2025,18:09:33,27.8,30 sec
02-05-2025,18:10:03,27.8,30 sec
02-05-2025,18:10:33,27.8,30 sec
02-05-2025,18:11:03,27.8,30 sec
02-05-2025,18:11:33,27.8,30 sec
02-05-2025,18:12:03,27.8,30 sec
02-05-2025,18:12:33,27.8,30 sec
02-05-2025,18:13:03,27.8,30 sec
02-05-2025,18:13:33,27.8,30 sec
02-05-2025,18:14:03,27.8,30 sec
02-05-2025,18:14:33,27.8,30 sec
02-05-2025,18:15:03,27.8,30 sec
02-05-2025,18:15:33,27.8,30 sec
02-05-2025,18:16:03,27.8,30 sec
02-05-2025,18:16:33,27.7,30 sec
02-05-2025,18:17:03,27.7,30 sec
02-05-2025,18:17:33,27.7,30 sec
02-05-2025,18:18:03,27.7,30 sec
02-05-2025,18:18:33,27.7,30 sec
