Date,Time,Temperature(°C),Interval
2025-05-21,14:52:48,-,30 sec
21-05-2025,14:52:48,27.0,30 sec
21-05-2025,14:53:18,26.9,30 sec
21-05-2025,14:53:48,26.8,30 sec
21-05-2025,14:54:18,26.8,30 sec
21-05-2025,14:54:48,26.9,30 sec
21-05-2025,14:55:18,28.0,30 sec
21-05-2025,14:55:48,27.5,30 sec
21-05-2025,14:56:18,27.2,30 sec
21-05-2025,14:56:48,27.0,30 sec
2025-05-21,15:00:17,-,30 sec
21-05-2025,15:00:17,27.0,30 sec
21-05-2025,15:00:47,26.8,30 sec
21-05-2025,15:01:17,26.7,30 sec
21-05-2025,15:01:47,26.7,30 sec
21-05-2025,15:02:17,26.7,30 sec
21-05-2025,15:02:47,26.8,30 sec
21-05-2025,15:03:17,26.8,30 sec
21-05-2025,15:03:47,26.7,30 sec
21-05-2025,15:04:17,26.7,30 sec
21-05-2025,15:04:47,26.7,30 sec
