Date,Time,Temperature(°C),Interval
2025-05-17,18:08:13,-,5 min
17-05-2025,18:08:13,36.3,5 min
17-05-2025,18:13:13,36.2,5 min
17-05-2025,18:18:13,36.6,5 min
17-05-2025,18:23:13,36.7,5 min
17-05-2025,18:28:13,36.8,5 min
17-05-2025,18:33:13,36.9,5 min
17-05-2025,18:38:13,36.1,5 min
17-05-2025,18:43:13,36.1,5 min
17-05-2025,18:48:13,36.2,5 min
17-05-2025,18:53:13,36.1,5 min
17-05-2025,18:58:13,36.0,5 min
17-05-2025,19:03:13,35.7,5 min
17-05-2025,19:08:13,35.7,5 min
17-05-2025,19:13:13,35.8,5 min
17-05-2025,19:18:13,36.2,5 min
17-05-2025,19:23:13,36.2,5 min
17-05-2025,19:28:13,35.5,5 min
17-05-2025,19:33:13,35.5,5 min
17-05-2025,19:38:13,35.6,5 min
17-05-2025,19:43:13,35.7,5 min
17-05-2025,19:48:13,35.7,5 min
17-05-2025,19:53:13,35.8,5 min
17-05-2025,19:58:13,35.6,5 min
17-05-2025,20:03:13,35.7,5 min
17-05-2025,20:08:13,35.9,5 min
17-05-2025,20:13:13,36.4,5 min
17-05-2025,20:18:13,36.7,5 min
17-05-2025,20:23:13,36.5,5 min
17-05-2025,20:28:13,36.4,5 min
17-05-2025,20:33:13,36.2,5 min
17-05-2025,20:38:13,35.6,5 min
17-05-2025,20:43:13,35.6,5 min
17-05-2025,20:48:13,35.6,5 min
17-05-2025,20:53:13,35.2,5 min
17-05-2025,20:58:13,35.3,5 min
17-05-2025,21:03:13,36.2,5 min
17-05-2025,21:08:13,36.1,5 min
17-05-2025,21:13:13,35.5,5 min
17-05-2025,21:18:13,35.2,5 min
17-05-2025,21:23:13,35.3,5 min
17-05-2025,21:28:13,34.8,5 min
17-05-2025,21:33:13,34.7,5 min
17-05-2025,21:38:13,34.8,5 min
17-05-2025,21:43:13,34.8,5 min
17-05-2025,21:48:13,34.8,5 min
17-05-2025,21:53:13,34.9,5 min
17-05-2025,21:58:13,34.9,5 min
17-05-2025,22:03:13,34.9,5 min
17-05-2025,22:08:13,34.7,5 min
17-05-2025,22:13:13,34.7,5 min
17-05-2025,22:18:13,34.6,5 min
17-05-2025,22:23:13,34.7,5 min
17-05-2025,22:28:13,34.9,5 min
17-05-2025,22:33:13,35.1,5 min
17-05-2025,22:38:13,35.2,5 min
17-05-2025,22:43:13,35.0,5 min
17-05-2025,22:48:13,35.3,5 min
17-05-2025,22:53:13,35.3,5 min
17-05-2025,22:58:13,35.3,5 min
17-05-2025,23:03:13,35.8,5 min
17-05-2025,23:08:13,35.8,5 min
17-05-2025,23:13:13,36.0,5 min
17-05-2025,23:18:13,35.5,5 min
17-05-2025,23:23:13,35.8,5 min
17-05-2025,23:28:13,35.6,5 min
17-05-2025,23:33:13,35.8,5 min
17-05-2025,23:38:13,35.8,5 min
17-05-2025,23:43:13,35.8,5 min
17-05-2025,23:48:13,35.7,5 min
17-05-2025,23:53:13,35.8,5 min
17-05-2025,23:58:13,35.9,5 min
18-05-2025,00:03:13,35.9,5 min
18-05-2025,00:08:13,36.0,5 min
18-05-2025,00:13:13,35.9,5 min
18-05-2025,00:18:13,35.8,5 min
18-05-2025,00:23:13,35.8,5 min
18-05-2025,00:28:13,35.8,5 min
18-05-2025,00:33:13,36.0,5 min
18-05-2025,00:38:13,36.1,5 min
18-05-2025,00:43:13,36.1,5 min
18-05-2025,00:48:13,36.1,5 min
18-05-2025,00:53:13,35.8,5 min
18-05-2025,00:58:13,35.9,5 min
18-05-2025,01:03:13,36.0,5 min
18-05-2025,01:08:13,36.0,5 min
18-05-2025,01:13:13,36.0,5 min
18-05-2025,01:18:13,35.9,5 min
18-05-2025,01:23:13,35.8,5 min
18-05-2025,01:28:13,35.8,5 min
18-05-2025,01:33:13,35.9,5 min
18-05-2025,01:38:13,35.8,5 min
18-05-2025,01:43:13,35.7,5 min
18-05-2025,01:48:13,35.6,5 min
18-05-2025,01:53:13,35.5,5 min
18-05-2025,01:58:13,35.5,5 min
18-05-2025,02:03:13,35.4,5 min
18-05-2025,02:08:13,35.4,5 min
18-05-2025,02:13:13,35.5,5 min
18-05-2025,02:18:13,35.5,5 min
18-05-2025,02:23:13,35.5,5 min
18-05-2025,02:28:13,35.7,5 min
18-05-2025,02:33:13,35.6,5 min
18-05-2025,02:38:13,35.6,5 min
18-05-2025,02:43:13,35.5,5 min
18-05-2025,02:48:13,35.4,5 min
18-05-2025,02:53:13,35.3,5 min
18-05-2025,02:58:13,35.2,5 min
18-05-2025,03:03:13,35.3,5 min
18-05-2025,03:08:13,35.2,5 min
18-05-2025,03:13:13,35.2,5 min
18-05-2025,03:18:13,35.2,5 min
18-05-2025,03:23:13,35.1,5 min
18-05-2025,03:28:13,35.1,5 min
18-05-2025,03:33:13,35.2,5 min
18-05-2025,03:38:13,35.3,5 min
18-05-2025,03:43:13,35.3,5 min
18-05-2025,03:48:13,35.0,5 min
18-05-2025,03:53:13,34.9,5 min
18-05-2025,03:58:13,35.0,5 min
18-05-2025,04:03:13,35.1,5 min
18-05-2025,04:08:13,35.3,5 min
18-05-2025,04:13:13,35.3,5 min
18-05-2025,04:18:13,35.3,5 min
18-05-2025,04:23:13,35.4,5 min
18-05-2025,04:28:13,35.3,5 min
18-05-2025,04:33:13,35.4,5 min
18-05-2025,04:38:13,35.3,5 min
18-05-2025,04:43:13,35.3,5 min
18-05-2025,04:48:13,35.3,5 min
18-05-2025,04:53:13,35.3,5 min
18-05-2025,04:58:13,35.3,5 min
18-05-2025,05:03:13,35.2,5 min
18-05-2025,05:08:13,35.5,5 min
18-05-2025,05:13:13,35.5,5 min
18-05-2025,05:18:13,35.1,5 min
18-05-2025,05:23:13,34.9,5 min
18-05-2025,05:28:13,35.0,5 min
18-05-2025,05:33:13,35.2,5 min
18-05-2025,05:38:13,35.1,5 min
18-05-2025,05:43:13,35.1,5 min
18-05-2025,05:48:13,35.2,5 min
18-05-2025,05:53:13,35.2,5 min
18-05-2025,05:58:13,35.2,5 min
18-05-2025,06:03:13,35.6,5 min
18-05-2025,06:08:13,35.4,5 min
18-05-2025,06:13:13,35.4,5 min
18-05-2025,06:18:13,35.5,5 min
18-05-2025,06:23:13,35.3,5 min
18-05-2025,06:28:13,35.3,5 min
18-05-2025,06:33:13,35.5,5 min
