Date,Time,Temperature(°C),Interval
2025-05-10,01:29:23,-,5 min
10-05-2025,01:29:23,29.3,5 min
10-05-2025,01:34:23,33.8,5 min
10-05-2025,01:39:23,33.8,5 min
10-05-2025,01:44:23,33.8,5 min
10-05-2025,01:49:23,34.2,5 min
10-05-2025,01:54:23,34.3,5 min
10-05-2025,01:59:23,34.5,5 min
10-05-2025,02:04:23,35.4,5 min
10-05-2025,02:09:23,35.4,5 min
10-05-2025,02:14:23,35.5,5 min
10-05-2025,02:19:23,35.0,5 min
10-05-2025,02:24:23,35.2,5 min
10-05-2025,02:29:23,35.4,5 min
10-05-2025,02:34:23,35.5,5 min
10-05-2025,02:39:23,35.6,5 min
10-05-2025,02:44:23,35.6,5 min
10-05-2025,02:49:23,35.4,5 min
10-05-2025,02:54:23,35.3,5 min
10-05-2025,02:59:23,35.4,5 min
10-05-2025,03:04:23,34.9,5 min
10-05-2025,03:09:23,34.9,5 min
10-05-2025,03:14:23,35.1,5 min
10-05-2025,03:19:23,35.1,5 min
10-05-2025,03:24:23,35.6,5 min
10-05-2025,03:29:23,34.9,5 min
10-05-2025,03:34:23,35.4,5 min
10-05-2025,03:39:23,35.8,5 min
10-05-2025,03:44:23,35.9,5 min
10-05-2025,03:49:23,35.5,5 min
10-05-2025,03:54:23,35.7,5 min
10-05-2025,03:59:23,35.7,5 min
10-05-2025,04:04:23,35.6,5 min
10-05-2025,04:09:23,35.9,5 min
10-05-2025,04:14:23,36.1,5 min
10-05-2025,04:19:23,36.1,5 min
10-05-2025,04:24:23,36.1,5 min
10-05-2025,04:29:23,36.1,5 min
10-05-2025,04:34:23,34.4,5 min
10-05-2025,04:39:23,34.1,5 min
10-05-2025,04:44:23,34.3,5 min
10-05-2025,04:49:23,34.3,5 min
10-05-2025,04:54:23,34.3,5 min
10-05-2025,04:59:23,34.3,5 min
10-05-2025,05:04:23,34.2,5 min
10-05-2025,05:09:23,34.2,5 min
10-05-2025,05:14:23,34.2,5 min
10-05-2025,05:19:23,34.2,5 min
10-05-2025,05:24:23,34.0,5 min
10-05-2025,05:29:23,33.8,5 min
10-05-2025,05:34:23,33.9,5 min
10-05-2025,05:39:23,33.7,5 min
10-05-2025,05:44:23,33.7,5 min
10-05-2025,05:49:23,34.4,5 min
10-05-2025,05:54:23,34.1,5 min
10-05-2025,05:59:23,34.1,5 min
10-05-2025,06:04:23,34.1,5 min
10-05-2025,06:09:23,34.1,5 min
10-05-2025,06:14:23,34.1,5 min
