Date,Time,Temperature(°C),Interval(in minutes)
2025-06-05,18:45:17,-,10 min
05-06-2025,18:45:17,26.7,10
05-06-2025,18:55:17,26.6,10
05-06-2025,19:05:17,26.7,10
05-06-2025,19:15:17,26.7,10
05-06-2025,19:25:17,26.7,10
05-06-2025,19:35:17,26.6,10
05-06-2025,19:45:17,26.7,10
05-06-2025,19:55:17,26.7,10
05-06-2025,20:05:17,26.6,10
05-06-2025,20:15:17,26.6,10
05-06-2025,20:25:17,26.6,10
05-06-2025,20:35:17,26.6,10
05-06-2025,20:45:17,26.7,10
05-06-2025,20:55:17,26.7,10
05-06-2025,21:05:17,26.6,10
05-06-2025,21:15:17,26.6,10
05-06-2025,21:25:17,26.7,10
05-06-2025,21:35:17,26.6,10
05-06-2025,21:45:17,26.6,10
05-06-2025,21:55:17,26.6,10
05-06-2025,22:05:17,26.7,10
05-06-2025,22:15:17,26.6,10
05-06-2025,22:25:17,26.7,10
05-06-2025,22:35:17,26.6,10
05-06-2025,22:45:17,26.6,10
05-06-2025,22:55:17,26.7,10
05-06-2025,23:05:17,26.6,10
05-06-2025,23:15:17,26.6,10
05-06-2025,23:25:17,26.6,10
05-06-2025,23:35:17,26.6,10
05-06-2025,23:45:17,26.6,10
05-06-2025,23:55:17,26.7,10
06-06-2025,00:05:17,26.6,10
06-06-2025,00:15:17,26.6,10
06-06-2025,00:25:17,26.6,10
06-06-2025,00:35:17,26.6,10
06-06-2025,00:45:17,26.6,10
06-06-2025,00:55:17,26.6,10
06-06-2025,01:05:17,26.6,10
06-06-2025,01:15:17,26.6,10
06-06-2025,01:25:17,26.6,10
06-06-2025,01:35:17,26.6,10
06-06-2025,01:45:17,26.6,10
06-06-2025,01:55:17,26.6,10
06-06-2025,02:05:17,26.6,10
06-06-2025,02:15:17,26.6,10
06-06-2025,02:25:17,26.6,10
06-06-2025,02:35:17,26.6,10
06-06-2025,02:45:17,26.6,10
06-06-2025,02:55:17,26.6,10
06-06-2025,03:05:17,26.6,10
06-06-2025,03:15:17,26.6,10
06-06-2025,03:25:17,26.6,10
06-06-2025,03:35:17,26.6,10
06-06-2025,03:45:17,26.6,10
06-06-2025,03:55:17,26.6,10
06-06-2025,04:05:17,26.6,10
06-06-2025,04:15:17,26.6,10
06-06-2025,04:25:17,26.6,10
06-06-2025,04:35:17,26.6,10
06-06-2025,04:45:17,26.6,10
06-06-2025,04:55:17,26.6,10
06-06-2025,05:05:17,26.6,10
06-06-2025,05:15:17,26.6,10
06-06-2025,05:25:17,26.6,10
06-06-2025,05:35:17,26.6,10
06-06-2025,05:45:17,26.6,10
06-06-2025,05:55:17,26.6,10
06-06-2025,06:05:17,26.6,10
06-06-2025,06:15:17,26.6,10
06-06-2025,06:25:17,26.6,10
06-06-2025,06:35:17,26.6,10
06-06-2025,06:45:17,26.6,10
06-06-2025,06:55:17,26.6,10
06-06-2025,07:05:17,26.6,10
06-06-2025,07:15:17,26.6,10
06-06-2025,07:25:17,26.6,10
06-06-2025,07:35:17,26.6,10
06-06-2025,07:45:17,26.6,10
06-06-2025,07:55:17,26.7,10
06-06-2025,08:05:17,26.7,10
06-06-2025,08:15:17,26.7,10
06-06-2025,08:25:17,26.7,10
06-06-2025,08:35:17,26.7,10
06-06-2025,08:45:17,26.7,10
06-06-2025,08:55:17,26.7,10
06-06-2025,09:05:17,26.6,10
06-06-2025,09:15:17,26.6,10
06-06-2025,09:25:17,26.6,10
06-06-2025,09:35:17,26.7,10
06-06-2025,09:45:17,26.6,10
06-06-2025,09:55:17,26.6,10
06-06-2025,10:05:17,26.6,10
06-06-2025,10:15:17,26.6,10
06-06-2025,10:25:17,26.6,10
06-06-2025,10:35:17,26.6,10
06-06-2025,10:45:17,26.7,10
06-06-2025,10:55:17,26.7,10
06-06-2025,11:05:17,26.7,10
06-06-2025,11:15:17,26.6,10
06-06-2025,11:25:17,26.6,10
06-06-2025,11:35:17,26.7,10
06-06-2025,11:45:17,26.6,10
06-06-2025,11:55:17,26.7,10
06-06-2025,12:05:17,26.6,10
06-06-2025,12:15:17,26.6,10
06-06-2025,12:25:17,26.6,10
06-06-2025,12:35:17,26.6,10
06-06-2025,12:45:17,26.7,10
06-06-2025,12:55:17,26.6,10
06-06-2025,13:05:17,26.6,10
06-06-2025,13:15:17,26.6,10
06-06-2025,13:25:17,26.6,10
06-06-2025,13:35:17,26.6,10
06-06-2025,13:45:17,26.6,10
06-06-2025,13:55:17,26.6,10
06-06-2025,14:05:17,26.6,10
06-06-2025,14:15:17,26.6,10
06-06-2025,14:25:17,26.6,10
06-06-2025,14:35:17,26.6,10
06-06-2025,14:45:17,26.6,10
06-06-2025,14:55:17,26.6,10
06-06-2025,15:05:17,26.6,10
06-06-2025,15:15:17,26.6,10
06-06-2025,15:25:17,26.6,10
06-06-2025,15:35:17,26.6,10
06-06-2025,15:45:17,26.6,10
06-06-2025,15:55:17,26.6,10
06-06-2025,16:05:17,26.6,10
06-06-2025,16:15:17,26.6,10
06-06-2025,16:25:17,26.6,10
06-06-2025,16:35:17,26.6,10
06-06-2025,16:45:17,26.6,10
06-06-2025,16:55:17,26.6,10
06-06-2025,17:05:17,26.6,10
06-06-2025,17:15:17,26.6,10
06-06-2025,17:25:17,26.6,10
06-06-2025,17:35:17,26.6,10
06-06-2025,17:45:17,26.6,10
06-06-2025,17:55:17,26.6,10
06-06-2025,18:05:17,26.6,10
06-06-2025,18:15:17,26.6,10
06-06-2025,18:25:17,26.6,10
06-06-2025,18:35:17,26.6,10
06-06-2025,18:45:17,26.6,10
06-06-2025,18:55:17,26.6,10
06-06-2025,19:05:17,26.6,10
06-06-2025,19:15:17,26.6,10
06-06-2025,19:25:17,26.6,10
06-06-2025,19:35:17,26.6,10
06-06-2025,19:45:17,26.6,10
06-06-2025,19:55:17,26.6,10
06-06-2025,20:05:17,26.6,10
06-06-2025,20:15:17,26.6,10
06-06-2025,20:25:17,26.6,10
06-06-2025,20:35:17,26.6,10
06-06-2025,20:45:17,26.6,10
06-06-2025,20:55:17,26.6,10
06-06-2025,21:05:17,26.6,10
06-06-2025,21:15:17,26.6,10
06-06-2025,21:25:17,26.6,10
06-06-2025,21:35:17,26.6,10
06-06-2025,21:45:17,26.6,10
06-06-2025,21:55:17,26.6,10
06-06-2025,22:05:17,26.6,10
06-06-2025,22:15:17,26.6,10
06-06-2025,22:25:17,26.6,10
06-06-2025,22:35:17,26.6,10
06-06-2025,22:45:17,26.6,10
06-06-2025,22:55:17,26.6,10
06-06-2025,23:05:17,26.6,10
06-06-2025,23:15:17,26.6,10
06-06-2025,23:25:17,26.6,10
06-06-2025,23:35:17,26.6,10
06-06-2025,23:45:17,26.6,10
06-06-2025,23:55:17,26.6,10
07-06-2025,00:05:17,26.6,10
07-06-2025,00:15:17,26.6,10
07-06-2025,00:25:17,26.6,10
07-06-2025,00:35:17,26.6,10
07-06-2025,00:45:17,26.6,10
07-06-2025,00:55:17,26.6,10
07-06-2025,01:05:17,26.6,10
07-06-2025,01:15:17,26.6,10
07-06-2025,01:25:17,26.6,10
07-06-2025,01:35:17,26.6,10
07-06-2025,01:45:17,26.6,10
07-06-2025,01:55:17,26.6,10
07-06-2025,02:05:17,26.6,10
07-06-2025,02:15:17,26.6,10
07-06-2025,02:25:17,26.6,10
07-06-2025,02:35:17,26.6,10
07-06-2025,02:45:17,26.6,10
07-06-2025,02:55:17,26.6,10
07-06-2025,03:05:17,26.6,10
07-06-2025,03:15:17,26.6,10
07-06-2025,03:25:17,26.6,10
07-06-2025,03:35:17,26.6,10
07-06-2025,03:45:17,26.6,10
07-06-2025,03:55:17,26.6,10
07-06-2025,04:05:17,26.6,10
07-06-2025,04:15:17,26.6,10
07-06-2025,04:25:17,26.6,10
07-06-2025,04:35:17,26.6,10
07-06-2025,04:45:17,26.6,10
07-06-2025,04:55:17,26.6,10
07-06-2025,05:05:17,26.6,10
07-06-2025,05:15:17,26.6,10
07-06-2025,05:25:17,26.6,10
07-06-2025,05:35:17,26.6,10
07-06-2025,05:45:17,26.6,10
07-06-2025,05:55:17,26.6,10
07-06-2025,06:05:17,26.6,10
07-06-2025,06:15:17,26.6,10
07-06-2025,06:25:17,26.6,10
07-06-2025,06:35:17,26.6,10
07-06-2025,06:45:17,26.6,10
07-06-2025,06:55:17,26.6,10
07-06-2025,07:05:17,26.6,10
07-06-2025,07:15:17,26.6,10
07-06-2025,07:25:17,26.6,10
07-06-2025,07:35:17,26.6,10
07-06-2025,07:45:17,26.6,10
07-06-2025,07:55:17,26.6,10
07-06-2025,08:05:17,26.6,10
07-06-2025,08:15:17,26.6,10
07-06-2025,08:25:17,26.6,10
07-06-2025,08:35:17,26.6,10
07-06-2025,08:45:17,26.6,10
07-06-2025,08:55:17,26.6,10
07-06-2025,09:05:17,26.6,10
07-06-2025,09:15:17,26.6,10
07-06-2025,09:25:17,26.6,10
07-06-2025,09:35:17,26.6,10
07-06-2025,09:45:17,26.6,10
07-06-2025,09:55:17,26.6,10
07-06-2025,10:05:17,26.6,10
07-06-2025,10:15:17,26.6,10
07-06-2025,10:25:17,26.6,10
07-06-2025,10:35:17,26.6,10
07-06-2025,10:45:17,26.6,10
07-06-2025,10:55:17,26.6,10
07-06-2025,11:05:17,26.6,10
07-06-2025,11:15:17,26.6,10
07-06-2025,11:25:17,26.6,10
07-06-2025,11:35:17,26.6,10
07-06-2025,11:45:17,26.6,10
07-06-2025,11:55:17,26.6,10
07-06-2025,12:05:17,26.6,10
07-06-2025,12:15:17,26.6,10
07-06-2025,12:25:17,26.6,10
07-06-2025,12:35:17,26.6,10
07-06-2025,12:45:17,26.6,10
07-06-2025,12:55:17,26.6,10
07-06-2025,13:05:17,26.6,10
07-06-2025,13:15:17,26.6,10
07-06-2025,13:25:17,26.6,10
07-06-2025,13:35:17,26.6,10
07-06-2025,13:45:17,26.6,10
07-06-2025,13:55:17,26.6,10
07-06-2025,14:05:17,26.6,10
07-06-2025,14:15:17,26.6,10
07-06-2025,14:25:17,26.6,10
07-06-2025,14:35:17,26.6,10
07-06-2025,14:45:17,26.6,10
07-06-2025,14:55:17,26.6,10
07-06-2025,15:05:17,26.6,10
07-06-2025,15:15:17,26.6,10
07-06-2025,15:25:17,26.6,10
07-06-2025,15:35:17,26.6,10
07-06-2025,15:45:17,26.6,10
07-06-2025,15:55:17,26.6,10
07-06-2025,16:05:17,26.6,10
07-06-2025,16:15:17,26.6,10
07-06-2025,16:25:17,26.6,10
07-06-2025,16:35:17,26.6,10
07-06-2025,16:45:17,26.6,10
07-06-2025,16:55:17,26.6,10
07-06-2025,17:05:17,26.6,10
07-06-2025,17:15:17,26.6,10
07-06-2025,17:25:17,26.6,10
07-06-2025,17:35:17,26.6,10
07-06-2025,17:45:17,26.6,10
07-06-2025,17:55:17,26.6,10
07-06-2025,18:05:17,26.6,10
07-06-2025,18:15:17,26.6,10
07-06-2025,18:25:17,26.6,10
07-06-2025,18:35:17,26.6,10
07-06-2025,18:45:17,26.6,10
07-06-2025,18:55:17,26.6,10
07-06-2025,19:05:17,26.6,10
07-06-2025,19:15:17,26.6,10
07-06-2025,19:25:17,26.6,10
07-06-2025,19:35:17,26.6,10
07-06-2025,19:45:17,26.6,10
07-06-2025,19:55:17,26.6,10
07-06-2025,20:05:17,26.6,10
07-06-2025,20:15:17,26.6,10
07-06-2025,20:25:17,26.6,10
07-06-2025,20:35:17,26.6,10
07-06-2025,20:45:17,26.6,10
07-06-2025,20:55:17,26.6,10
07-06-2025,21:05:17,26.6,10
07-06-2025,21:15:17,26.6,10
07-06-2025,21:25:17,26.6,10
07-06-2025,21:35:17,26.6,10
07-06-2025,21:45:17,26.6,10
07-06-2025,21:55:17,26.6,10
07-06-2025,22:05:17,26.6,10
07-06-2025,22:15:17,26.6,10
07-06-2025,22:25:17,26.6,10
07-06-2025,22:35:17,26.6,10
07-06-2025,22:45:17,26.6,10
07-06-2025,22:55:17,26.6,10
07-06-2025,23:05:17,26.6,10
07-06-2025,23:15:17,26.6,10
07-06-2025,23:25:17,26.6,10
07-06-2025,23:35:17,26.6,10
07-06-2025,23:45:17,26.6,10
07-06-2025,23:55:17,26.6,10
07-06-2025,00:05:17,26.6,10
07-06-2025,00:15:17,26.6,10
07-06-2025,00:25:17,26.6,10
07-06-2025,00:35:17,26.6,10
07-06-2025,00:45:17,26.6,10
07-06-2025,00:55:17,26.6,10
07-06-2025,01:05:17,26.6,10
07-06-2025,01:15:17,26.6,10
07-06-2025,01:25:17,26.6,10
07-06-2025,01:35:17,26.6,10
07-06-2025,01:45:17,26.6,10
07-06-2025,01:55:17,26.6,10
07-06-2025,02:05:17,26.6,10
07-06-2025,02:15:17,26.6,10
07-06-2025,02:25:17,26.6,10
07-06-2025,02:35:17,26.6,10
07-06-2025,02:45:17,26.6,10
07-06-2025,02:55:17,26.6,10
07-06-2025,03:05:17,26.6,10
07-06-2025,03:15:17,26.6,10
07-06-2025,03:25:17,26.6,10
07-06-2025,03:35:17,26.6,10
07-06-2025,03:45:17,26.6,10
07-06-2025,03:55:17,26.6,10
07-06-2025,04:05:17,26.6,10
07-06-2025,04:15:17,26.6,10
07-06-2025,04:25:17,26.6,10
07-06-2025,04:35:17,26.6,10
07-06-2025,04:45:17,26.6,10
07-06-2025,04:55:17,26.6,10
07-06-2025,05:05:17,26.6,10
07-06-2025,05:15:17,26.6,10
07-06-2025,05:25:17,26.6,10
07-06-2025,05:35:17,26.6,10
07-06-2025,05:45:17,26.6,10
07-06-2025,05:55:17,26.6,10
07-06-2025,06:05:17,26.6,10
07-06-2025,06:15:17,26.6,10
07-06-2025,06:25:17,26.6,10
07-06-2025,06:35:17,26.6,10
07-06-2025,06:45:17,26.6,10
07-06-2025,06:55:17,26.6,10
07-06-2025,07:05:17,26.6,10
07-06-2025,07:15:17,26.6,10
07-06-2025,07:25:17,26.6,10
07-06-2025,07:35:17,26.5,10
07-06-2025,07:45:17,26.6,10
