Date,Time,Temperature(°C),Interval
2025-05-21,12:23:46,-,30 sec
21-05-2025,12:23:46,26.5,30 sec
21-05-2025,12:24:16,26.3,30 sec
21-05-2025,12:24:46,26.2,30 sec
21-05-2025,12:25:16,26.1,30 sec
21-05-2025,12:25:46,26.3,30 sec
21-05-2025,12:26:16,26.1,30 sec
21-05-2025,12:26:46,26.5,30 sec
21-05-2025,12:27:16,26.4,30 sec
21-05-2025,12:27:46,26.3,30 sec
21-05-2025,12:28:16,26.3,30 sec
21-05-2025,12:28:46,26.3,30 sec
21-05-2025,12:29:16,26.5,30 sec
21-05-2025,12:29:46,26.3,30 sec
21-05-2025,12:30:16,26.1,30 sec
21-05-2025,12:30:46,26.0,30 sec
21-05-2025,12:31:16,25.9,30 sec
21-05-2025,12:31:46,25.8,30 sec
21-05-2025,12:32:16,25.8,30 sec
21-05-2025,12:32:46,25.7,30 sec
21-05-2025,12:33:16,25.7,30 sec
21-05-2025,12:33:46,25.7,30 sec
21-05-2025,12:34:16,25.7,30 sec
21-05-2025,12:34:46,25.7,30 sec
21-05-2025,12:35:16,25.7,30 sec
21-05-2025,12:35:46,25.7,30 sec
21-05-2025,12:36:16,25.7,30 sec
21-05-2025,12:36:46,25.7,30 sec
21-05-2025,12:37:16,25.7,30 sec
21-05-2025,12:37:46,25.8,30 sec
21-05-2025,12:38:16,25.8,30 sec
21-05-2025,12:38:46,25.8,30 sec
21-05-2025,12:39:16,25.8,30 sec
21-05-2025,12:39:46,25.8,30 sec
21-05-2025,12:40:16,25.7,30 sec
21-05-2025,12:40:46,25.6,30 sec
21-05-2025,12:41:16,25.6,30 sec
21-05-2025,12:41:46,25.5,30 sec
21-05-2025,12:42:16,25.5,30 sec
21-05-2025,12:42:46,25.5,30 sec
21-05-2025,12:43:16,30.7,30 sec
21-05-2025,12:43:46,33.1,30 sec
21-05-2025,12:44:16,33.1,30 sec
21-05-2025,12:44:46,32.9,30 sec
21-05-2025,12:45:16,31.4,30 sec
21-05-2025,12:45:46,29.5,30 sec
21-05-2025,12:46:16,28.3,30 sec
21-05-2025,12:46:46,27.7,30 sec
21-05-2025,12:47:16,27.2,30 sec
21-05-2025,12:47:46,26.8,30 sec
21-05-2025,12:48:16,26.5,30 sec
21-05-2025,12:48:46,26.3,30 sec
21-05-2025,12:49:16,26.2,30 sec
21-05-2025,12:49:46,26.1,30 sec
21-05-2025,12:50:16,26.0,30 sec
21-05-2025,12:50:46,25.9,30 sec
21-05-2025,12:51:16,26.0,30 sec
21-05-2025,12:51:46,25.9,30 sec
21-05-2025,12:52:16,26.0,30 sec
21-05-2025,12:52:46,25.9,30 sec
21-05-2025,12:53:16,26.0,30 sec
21-05-2025,12:53:46,26.0,30 sec
21-05-2025,12:54:16,26.0,30 sec
21-05-2025,12:54:46,26.0,30 sec
21-05-2025,12:55:16,26.1,30 sec
21-05-2025,12:55:46,26.1,30 sec
21-05-2025,12:56:16,26.1,30 sec
21-05-2025,12:56:46,26.1,30 sec
21-05-2025,12:57:16,26.1,30 sec
21-05-2025,12:57:46,26.1,30 sec
21-05-2025,12:58:16,26.1,30 sec
