Date,Time,Temperature(°C),Interval
2025-04-11,10:53:56,-,30 sec
11-04-2025,10:53:13,26.6,30 sec
11-04-2025,10:53:43,26.6,30 sec
11-04-2025,10:54:13,26.6,30 sec
11-04-2025,10:54:43,26.6,30 sec
11-04-2025,10:55:13,26.6,30 sec
11-04-2025,10:55:43,26.6,30 sec
11-04-2025,10:56:13,26.6,30 sec
11-04-2025,10:56:43,26.6,30 sec
11-04-2025,10:57:13,26.6,30 sec
11-04-2025,10:57:43,26.6,30 sec
11-04-2025,10:58:13,26.6,30 sec
11-04-2025,10:58:43,26.6,30 sec
11-04-2025,10:59:13,26.6,30 sec
11-04-2025,10:59:43,26.6,30 sec
11-04-2025,11:00:13,26.6,30 sec
11-04-2025,11:00:43,26.6,30 sec
11-04-2025,11:01:13,26.6,30 sec
11-04-2025,11:01:43,26.6,30 sec
11-04-2025,11:02:13,26.6,30 sec
11-04-2025,11:02:43,26.6,30 sec
11-04-2025,11:03:13,26.6,30 sec
