Date,Time,Temperature(°C),Interval
2025-04-11,10:51:37,-,30 sec
11-04-2025,00:00:00,27.5,
11-04-2025,00:00:30,27.5,
11-04-2025,00:01:00,27.5,
11-04-2025,00:01:30,27.5,
11-04-2025,00:02:00,27.5,
11-04-2025,00:02:30,27.5,
11-04-2025,00:03:00,27.5,
11-04-2025,00:03:30,27.4,
11-04-2025,00:04:00,27.4,
11-04-2025,00:04:30,27.4,
11-04-2025,00:05:00,27.4,
11-04-2025,00:05:30,27.4,
11-04-2025,00:06:00,27.4,
11-04-2025,00:06:30,27.4,
11-04-2025,00:07:00,27.4,
11-04-2025,00:07:30,27.3,
11-04-2025,00:08:00,27.3,
11-04-2025,00:08:30,27.3,
11-04-2025,00:09:00,27.3,
11-04-2025,00:09:30,27.3,
11-04-2025,00:10:00,27.3,
11-04-2025,00:10:30,27.2,
11-04-2025,00:11:00,27.2,
11-04-2025,00:11:30,27.2,
11-04-2025,00:12:00,27.2,
11-04-2025,00:12:30,27.2,
11-04-2025,00:13:00,27.2,
11-04-2025,00:13:30,27.2,
11-04-2025,00:14:00,27.1,
11-04-2025,00:14:30,27.1,
